customer_id,gender,age,region,tenure_months,contract_type,internet_service,monthly_gb_download,streaming_package,tech_support_calls,payment_method,monthly_charges,total_charges,late_payments,account_manager,last_login_date,credit_score,churn_label
132,Male,31,North,86,Month-to-month,No,0,No,0,Bank transfer,134.72,11585.62,0,0,2023-09-10,718,0
133,Male,19,North,31,Month-to-month,DSL,36,Yes,0,Mailed check,71.1,2204.04,1,0,2023-02-16,644,1
134,Male,34,East,10,Month-to-month,Fiber optic,45,No,1,Mailed check,124.43,1244.28,0,0,2023-01-25,822,1
135,Male,45,North,18,Month-to-month,Fiber optic,36,Yes,2,Mailed check,34.89,627.99,1,0,2023-02-26,618,0
136,Male,83,West,49,One year,Fiber optic,36,Yes,1,Bank transfer,22.8,1117.38,1,0,2023-03-20,641,0
137,Male,52,South,17,Month-to-month,DSL,14,Yes,1,Bank transfer,36.4,928.14,0,0,2023-11-18,,0
138,Male,22,East,4,Month-to-month,Fiber optic,38,No,2,Electronic check,105.67,422.7,0,0,2023-03-23,845,0
139,Male,82,South,10,Month-to-month,DSL,7,No,1,Credit card,122.68,1226.83,1,0,2023-12-15,507,0
140,male,57,South,38,Two year,Fiber optic,27,Yes,1,Electronic check,46.53,1768.32,0,0,2023-08-05,485,0
141,Female,73,East,21,Month-to-month,Fiber optic,33,Yes,0,Electronic check,56.18,1179.84,0,0,2023-11-02,316,0
142,male,53,West,22,Month-to-month,No,0,Yes,2,Bank transfer,34.93,768.47,0,0,2023-02-02,589,0
143,Female,62,West,41,Month-to-month,Fiber optic,61,No,1,Mailed check,20,820,1,0,2023-07-17,553,0
144,Female,40,East,45,One year,DSL,16,Yes,1,Bank transfer,91.55,6179.79,3,0,2023-07-15,745,0
145,Female,64,West,51,One year,DSL,17,No,1,Bank transfer,76.69,3911.22,0,0,2023-11-02,755,0
146,Male,48,West,2,Month-to-month,No,0,Yes,1,Bank transfer,70.31,140.63,0,0,2023-08-28,446,0
147,Male,28,West,16,Month-to-month,DSL,32,No,0,Electronic check,28,447.97,0,0,2023-09-28,413,0
148,Male,27,North,27,Month-to-month,Fiber optic,75,No,,Mailed check,119.2,3218.36,0,0,2023-05-09,396,1
149,Male,84,North,29,One year,DSL,17,Yes,1,Bank transfer,54.9,1592.08,0,0,2023-10-11,681,0
150,Female,31,South,19,One year,Fiber optic,37,No,3,Electronic check,86.01,1634.17,1,0,2023-01-06,675,0
151,Male,27,East,4,Month-to-month,Fiber optic,32,Yes,1,Bank transfer,26.36,105.45,1,0,2023-12-15,,0
152,Male,18,South,32,Month-to-month,DSL,26,Yes,2,Credit card,64.28,2057.1,0,0,2023-02-28,621,0
153,Male,22,South,26,Month-to-month,DSL,17,Yes,0,Mailed check,78.74,2047.27,0,0,2023-12-16,627,0
154,Male,37,West,2,Month-to-month,No,0,Yes,1,Electronic check,79.81,159.62,2,0,2023-10-02,648,0
155,Male,25,West,13,One year,Fiber optic,42,Yes,1,Credit card,74.64,970.31,0,0,2023-05-17,469,0
156,Female,60,West,4,Month-to-month,Fiber optic,33,No,3,Bank transfer,84.84,339.34,1,0,2023-11-25,,1
157,Male,18,South,9,Month-to-month,No,0,Yes,1,Credit card,36.08,324.76,0,1,2023-06-24,498,0
158,Female,74,East,1,Month-to-month,No,0,No,1,Credit card,75.92,75.92,0,0,2023-02-27,476,1
159,Male,81,South,11,Two year,DSL,12,Yes,0,Electronic check,73.41,807.54,0,0,2023-05-31,,0
160,Female,45,North,16,Two year,No,0,Yes,2,Mailed check,76.95,1231.2,0,0,2023-08-11,,0
161,Male,54,North,20,Month-to-month,DSL,23,No,1,Mailed check,72.17,1443.41,0,0,2023-03-22,585,0
162,Male,64,South,22,Month-to-month,DSL,6,Yes,0,Electronic check,31.8,699.68,1,0,2023-08-21,534,0
163,Female,54,South,37,Month-to-month,No,0,Yes,1,Bank transfer,30.47,1127.24,0,0,2023-01-02,593,0
164,Female,66,West,5,Month-to-month,DSL,29,No,0,Credit card,20,100,0,1,2023-05-15,317,0
165,Female,61,North,3,Month-to-month,DSL,14,No,2,Mailed check,94.53,283.58,0,1,2023-09-14,473,1
166,Male,73,East,39,One year,DSL,18,Yes,0,Mailed check,94.83,3698.36,0,0,2023-04-02,702,1
167,Female,45,East,4,One year,Fiber optic,23,Yes,1,Credit card,95.31,381.23,1,1,2023-09-17,680,0
168,Male,23,South,74,Two year,Fiber optic,49,Yes,1,Bank transfer,79.2,5861.07,0,0,2023-02-24,419,0
169,Male,78,South,37,Month-to-month,Fiber optic,43,Yes,2,Credit card,20,740,0,0,2023-11-17,395,0
170,Female,37,South,14,Two year,No,0,Yes,0,Electronic check,39.2,548.78,0,0,2023-06-02,330,0
171,Female,19,East,80,One year,Fiber optic,48,Yes,0,Electronic check,75.11,6009,0,0,2023-11-24,396,0
172,Male,54,South,3,Month-to-month,DSL,34,Yes,0,Bank transfer,74.07,222.2,0,0,2023-09-17,769,0
173,Male,37,North,8,Month-to-month,No,0,Yes,4,Mailed check,63.32,506.54,0,0,2023-11-08,345,0
174,Female,43,North,21,Month-to-month,DSL,21,Yes,0,Mailed check,81.07,1702.42,1,1,2023-04-12,535,0
175,Female,46,East,9,Month-to-month,DSL,12,No,0,Bank transfer,70.35,633.15,1,0,2023-03-20,636,1
176,Female,18,West,53,Month-to-month,DSL,12,No,1,Bank transfer,73.62,3902.03,1,0,2023-07-11,584,0
177,m,52,South,2,One year,Fiber optic,61,Yes,3,Electronic check,50.83,152.49,0,0,2023-03-24,433,0
178,Male,76,East,16,Month-to-month,DSL,32,No,0,Electronic check,99.46,1591.37,1,0,2023-10-04,838,0
179,Male,50,East,18,Two year,DSL,22,No,2,Bank transfer,57.08,1027.38,0,0,2023-09-29,559,0
180,Male,68,West,22,Month-to-month,DSL,26,Yes,2,Mailed check,30.08,661.77,0,0,2023-01-01,802,0
181,m,29,West,6,Two year,DSL,26,No,0,Credit card,46.87,281.22,1,0,2023-11-03,479,0
182,male,37,East,10,Month-to-month,Fiber optic,78,No,2,Credit card,59.55,595.46,0,0,2023-06-15,566,0
183,Female,70,East,38,One year,No,0,No,3,Credit card,99.82,3793.16,1,0,2023-09-08,383,0
184,Male,60,West,5,Month-to-month,Fiber optic,11,No,1,Electronic check,68.73,343.66,1,1,2023-01-10,709,0
185,Male,67,South,36,Month-to-month,DSL,26,No,2,Bank transfer,64.42,2318.96,1,0,2023-02-27,455,0
186,Male,46,South,17,Two year,DSL,29,Yes,2,Mailed check,32.54,553.18,2,0,2023-07-05,789,0
187,male,74,North,29,Month-to-month,No,0,Yes,1,Electronic check,93.56,2713.37,1,0,2023-06-07,627,0
188,Male,56,West,26,One year,DSL,6,No,0,Bank transfer,50.44,1311.48,1,0,2023-05-03,645,0
189,Male,73,West,5,One year,No,0,No,0,Bank transfer,67,335,1,0,2023-01-30,396,0
190,Female,60,North,17,Month-to-month,DSL,11,No,3,Credit card,114.41,1944.89,0,0,2023-05-04,482,0
191,Male,67,East,41,Month-to-month,No,0,Yes,1,Credit card,85.26,3495.78,1,0,2023-10-18,626,0
192,Male,40,South,12,One year,DSL,11,No,1,Mailed check,21.15,253.83,1,0,2023-02-10,677,0
193,Male,61,North,68,Month-to-month,Fiber optic,35,Yes,0,Mailed check,20,1360,0,0,2023-02-13,,0
194,Male,55,West,13,One year,Fiber optic,40,No,1,Credit card,68.07,1327.38,4,0,2023-09-06,434,0
195,Male,40,South,4,Two year,Fiber optic,54,No,2,Credit card,33.62,134.47,1,0,2023-02-05,389,0
196,Female,62,North,10,Month-to-month,DSL,28,Yes,2,Bank transfer,89.46,894.56,2,0,2023-09-30,787,0
197,Female,69,East,61,Month-to-month,Fiber optic,71,Yes,2,Mailed check,71.27,4347.34,1,1,2023-03-06,388,0
198,Female,67,East,8,One year,Fiber optic,33,Yes,1,Bank transfer,74.96,599.69,0,0,2023-03-07,592,0
199,Male,25,North,41,Month-to-month,DSL,11,No,0,Mailed check,48.8,2000.71,1,0,2023-12-04,745,0
200,Male,18,East,43,Month-to-month,DSL,33,No,0,Mailed check,122.24,5256.38,1,0,2023-09-01,698,0
201,Male,25,East,9,Month-to-month,Fiber optic,62,Yes,0,Electronic check,150,1350,1,1,2023-10-09,813,1
202,Female,46,North,2,One year,DSL,20,No,0,Credit card,61.64,123.28,1,0,2023-03-26,694,0
203,Male,22,North,26,Month-to-month,Fiber optic,59,Yes,0,Electronic check,80.59,2095.37,0,0,2023/13/01,316,0
204,Male,64,East,8,Month-to-month,DSL,19,Yes,1,Mailed check,72.92,583.38,1,0,2023-09-28,541,0
205,Female,51,South,31,One year,Fiber optic,60,No,0,Bank transfer,62.21,1928.49,0,0,2023-11-07,,0
206,Male,82,West,12,Month-to-month,DSL,16,No,1,Mailed check,45.04,540.45,0,0,2023-08-05,303,0
207,Female,72,West,14,Month-to-month,Fiber optic,55,No,0,Electronic check,37.45,524.31,0,0,2023-04-19,580,0
208,Female,60,West,31,Two year,DSL,4,No,1,Credit card,35.93,1113.89,2,0,2023-10-04,832,0
209,Female,47,South,10,One year,DSL,13,No,0,Bank transfer,82.16,821.57,0,1,2023-12-20,,0
210,male,34,West,12,Two year,DSL,13,No,1,Mailed check,54.41,652.92,0,0,2023-04-13,537,0
211,Male,43,South,10,Month-to-month,No,0,No,2,Mailed check,20,200,1,0,2024-01-01,777,0
212,Male,25,South,10,One year,DSL,16,Yes,1,Credit card,83.35,833.46,0,1,2023-06-09,388,0
213,Male,64,North,15,Month-to-month,Fiber optic,31,Yes,1,Mailed check,68.85,1032.78,0,0,2023-07-24,412,0
214,Male,63,North,34,Month-to-month,DSL,14,No,1,Mailed check,110.4,3753.61,0,0,2023-12-10,441,1
215,Male,50,East,9,Month-to-month,DSL,4,Yes,3,Credit card,81.19,730.74,0,0,2023-11-29,350,1
216,Male,18,South,15,Month-to-month,Fiber optic,60,Yes,0,Electronic check,25.64,384.6,0,1,2023-07-11,507,0
217,Female,36,South,23,Two year,Fiber optic,48,Yes,,Electronic check,20,460,0,0,2023-08-13,822,1
218,Male,48,East,7,Month-to-month,No,0,Yes,3,Electronic check,48.42,338.91,0,0,2023-09-22,807,0
219,Female,31,South,7,One year,No,0,No,1,Electronic check,51.25,358.73,1,1,2023-08-20,569,0
220,Male,70,East,55,One year,Fiber optic,15,Yes,2,Bank transfer,98.29,5406.21,0,0,2023-03-03,562,0
221,Male,65,South,26,One year,Fiber optic,33,Yes,2,Bank transfer,69.73,1813.08,0,0,2023-05-07,485,0
222,Male,79,West,18,Month-to-month,Fiber optic,56,No,2,Credit card,104.01,1872.19,0,1,2023-04-26,520,0
223,Female,83,West,21,One year,DSL,14,Yes,1,Credit card,30.26,635.36,1,0,2023-02-02,380,0
224,m,81,South,1,Month-to-month,No,0,Yes,2,Credit card,98.96,98.96,1,0,2023-06-23,708,1
225,Female,80,South,20,Month-to-month,Fiber optic,36,No,1,Bank transfer,91.63,1832.59,0,1,2023-01-11,385,1
226,Female,50,South,15,Two year,Fiber optic,48,Yes,0,Mailed check,20,300,0,0,2023-10-29,403,0
227,Male,58,West,16,Month-to-month,DSL,23,No,1,Bank transfer,109.68,1754.86,2,0,2023-10-11,,1
228,Female,65,South,9,Month-to-month,DSL,5,No,0,Electronic check,72.8,655.23,0,0,2023-04-28,759,0
229,Male,30,South,2,Two year,No,0,No,0,Electronic check,81.76,163.52,0,0,2023-10-29,760,0
230,Male,48,North,5,Month-to-month,DSL,25,Yes,1,Mailed check,44.05,330.405,0,0,2023-04-23,420,0
231,Female,21,South,61,One year,Fiber optic,33,Yes,3,Credit card,108.26,6603.7,1,0,2023-01-04,651,0
232,Female,36,South,11,Month-to-month,DSL,19,No,1,Bank transfer,34.42,378.67,1,0,2023-02-06,739,0
233,Female,30,West,13,Month-to-month,No,0,No,2,Mailed check,94.96,1234.52,0,0,2023-12-29,488,0
234,Female,40,South,2,Month-to-month,DSL,19,No,0,Mailed check,94.62,189.24,0,0,2023-11-20,849,0
235,Female,18,South,1,Month-to-month,No,0,Yes,0,Bank transfer,40.77,40.77,1,0,2023-01-31,528,1
236,Female,71,West,26,Month-to-month,DSL,14,Yes,0,Mailed check,129.5,3367.03,0,1,2023-04-28,685,0
237,Female,32,West,16,One year,No,0,No,2,Credit card,76.95,1231.13,1,0,2023-02-04,430,0
238,Female,82,South,15,One year,Fiber optic,29,Yes,,Bank transfer,89.62,1344.25,0,0,2023-01-17,470,1
239,Male,32,South,6,Two year,DSL,17,Yes,1,Bank transfer,24.19,217.68,0,0,2023-06-19,,0
240,Female,38,South,28,Month-to-month,Fiber optic,82,No,1,Mailed check,133.53,3738.89,1,0,2023-02-06,,0
241,Female,36,West,4,One year,DSL,6,Yes,1,Credit card,33.26,133.05,1,0,2023-09-21,500,0
